nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled
towanda-grantley,3252,12.18,1951.4,7.31,3252,12.18,1951.4,7.31
tremont,1979,16.09,954.3,7.76,1979,16.09,954.3,7.76
tuscany-canterbury,10197,22.22,4681.1,10.2,10197,22.22,4681.1,10.2
union square,12000,21.24,4435.5,7.85,12000,21.24,4435.5,7.85
university of maryland,12357,18.61,4285.6,6.45,12357,18.61,4285.6,6.45
uplands,8195,18.46,2236.26,5.04,8195,18.46,2236.26,5.04
upper fells point,18826,20.73,6918.6,7.62,18826,20.73,6918.6,7.62
upton,19887,12.65,9076.8,5.77,19887,12.65,9076.8,5.77
violetville,13369,19.02,6694.8,9.52,13369,19.02,6694.8,9.52
wakefield,981,30.66,371.1,11.6,981,30.66,371.1,11.6
walbrook,10137,11.62,5764.5,6.61,10137,11.62,5764.5,6.61
waltherson,17393,13.03,9602.94333,7.19,17393,13.03,9602.94333,7.19
washington hill,16106,15.79,6792.85,6.66,16106,15.79,6792.85,6.66
washington village/pigtown,22541,14.28,9030,5.72,22541,14.28,9030,5.72
waverly,9440,16.68,4958.3,8.76,9440,16.68,4958.3,8.76
west arlington,12181,11.63,5809.6845,5.55,12181,11.63,5809.6845,5.55
west forest park,10949,18.01,5933.4,9.76,10949,18.01,5933.4,9.76
west hills,9385,20.23,4454.7,9.6,9385,20.23,4454.7,9.6
westfield,9889,10.37,4800.5,5.03,9889,10.37,4800.5,5.03
westgate,16986,27.4,7924.6,12.78,16986,27.4,7924.6,12.78
westport,8929,13.63,4869.905,7.43,8929,13.63,4869.905,7.43
wilhelm park,2188,21.88,1117.6,11.18,2188,21.88,1117.6,11.18
wilson park,1473,14.44,953.1,9.34,1473,14.44,953.1,9.34
winchester,3042,12.12,1626.4,6.48,3042,12.12,1626.4,6.48
windsor hills,8350,15.27,4477.8,8.19,8350,15.27,4477.8,8.19
winston-govans,1106,6.83,797.7,4.92,1106,6.83,797.7,4.92
woodberry,6845,19.96,3029.7,8.83,6845,19.96,3029.7,8.83
woodbourne heights,6213,11,3738.5,6.62,6213,11,3738.5,6.62
woodbourne-mccabe,910,10,839.7,9.23,910,10,839.7,9.23
woodmere,4979,9.65,2655.1,5.15,4979,9.65,2655.1,5.15
wrenlane,252,9.69,219.3,8.43,252,9.69,219.3,8.43
wyman park,13883,22.87,6451.42,10.63,13883,22.87,6451.42,10.63
wyndhurst,15435,22.18,7223.9,10.38,15435,22.18,7223.9,10.38
yale heights,6541,12.9,3732.3,7.36,6541,12.9,3732.3,7.36
york-homeland,243,17.36,96.2,6.87,243,17.36,96.2,6.87
